,Sector,Year,FDI($)
156,PHOTOGRAPHIC RAW FILM AND PAPER,2003,0.6
157,DYE-STUFFS,2003,0.0
158,DRUGS & PHARMACEUTICALS,2003,40.07
159,"TEXTILES (INCLUDING DYED,PRINTED)",2003,54.18
160,PAPER AND PULP,2003,7.36
161,SUGAR,2003,3.97
162,FERMENTATION INDUSTRIES,2003,8.07
163,FOOD PROCESSING INDUSTRIES,2003,36.88
164,VEGETABLE OILS AND VANASPATI,2003,0.0
165,"SOAPS, COSMETICS & TOILET PREPARATIONS",2003,0.0
166,RUBBER GOODS,2003,16.42
167,"LEATHER,LEATHER GOODS AND PICKERS",2003,0.01
168,GLUE AND GELATIN,2003,5.22
169,GLASS,2003,44.98
170,CERAMICS,2003,0.21
171,CEMENT AND GYPSUM PRODUCTS,2003,21.08
172,TIMBER PRODUCTS,2003,0.04
173,DEFENCE INDUSTRIES,2003,0.0
174,CONSULTANCY SERVICES,2003,25.7
175,SERVICES SECTOR,2003,296.34
176,HOSPITAL & DIAGNOSTIC CENTRES,2003,29.13
177,EDUCATION,2003,0.0
178,HOTEL & TOURISM,2003,33.75
179,TRADING,2003,38.13
180,RETAIL TRADING,2003,0.0
181,AGRICULTURE SERVICES,2003,11.01
182,"DIAMOND,GOLD ORNAMENTS",2003,1.3
183,TEA AND COFFEE,2003,0.0
184,PRINTING OF BOOKS,2003,6.3
185,COIR,2003,0.0
186,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2003,0.0
187,CONSTRUCTION DEVELOPMENT,2003,36.1
188,MISCELLANEOUS INDUSTRIES,2003,218.76
189,METALLURGICAL INDUSTRIES,2004,8.11
190,MINING,2004,23.48
191,POWER,2004,27.09
192,NON-CONVENTIONAL ENERGY,2004,4.14
193,COAL PRODUCTION,2004,0.04
194,PETROLEUM & NATURAL GAS,2004,80.64
195,BOILERS AND STEAM GENERATING PLANTS,2004,0.04
196,PRIME MOVER,2004,0.0
197,ELECTRICAL EQUIPMENTS,2004,73.2
198,COMPUTER SOFTWARE & HARDWARE,2004,368.32
199,ELECTRONICS,2004,82.31
200,TELECOMMUNICATIONS,2004,86.49
201,INFORMATION & BROADCASTING,2004,13.72
202,AUTOMOBILE INDUSTRY,2004,119.09
203,AIR TRANSPORT,2004,0.94
204,SEA TRANSPORT,2004,21.95
205,PORTS,2004,116.36
206,RAILWAY RELATED COMPONENTS,2004,2.95
207,INDUSTRIAL MACHINERY,2004,3.18
208,MACHINE TOOLS,2004,54.51
209,AGRICULTURAL MACHINERY,2004,47.54
210,EARTH-MOVING MACHINERY,2004,0.01
211,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2004,22.73
212,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2004,10.41
213,MEDICAL AND SURGICAL APPLIANCES,2004,1.97
214,INDUSTRIAL INSTRUMENTS,2004,0.3
215,SCIENTIFIC INSTRUMENTS,2004,0.02
216,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2004,0.0
217,FERTILIZERS,2004,21.58
218,CHEMICALS,2004,20.24
219,PHOTOGRAPHIC RAW FILM AND PAPER,2004,0.24
220,DYE-STUFFS,2004,0.43
221,DRUGS & PHARMACEUTICALS,2004,108.91
222,"TEXTILES (INCLUDING DYED,PRINTED)",2004,9.34
223,PAPER AND PULP,2004,7.15
224,SUGAR,2004,0.0
225,FERMENTATION INDUSTRIES,2004,1.7
226,FOOD PROCESSING INDUSTRIES,2004,109.22
227,VEGETABLE OILS AND VANASPATI,2004,1.69
228,"SOAPS, COSMETICS & TOILET PREPARATIONS",2004,0.0
229,RUBBER GOODS,2004,6.37
230,"LEATHER,LEATHER GOODS AND PICKERS",2004,7.55
231,GLUE AND GELATIN,2004,0.0
232,GLASS,2004,5.24
233,CERAMICS,2004,1.47
234,CEMENT AND GYPSUM PRODUCTS,2004,9.58
235,TIMBER PRODUCTS,2004,0.11
236,DEFENCE INDUSTRIES,2004,0.0
237,CONSULTANCY SERVICES,2004,46.2
238,SERVICES SECTOR,2004,271.15
239,HOSPITAL & DIAGNOSTIC CENTRES,2004,24.08
240,EDUCATION,2004,0.19
241,HOTEL & TOURISM,2004,49.36
242,TRADING,2004,31.12
243,RETAIL TRADING,2004,0.0
244,AGRICULTURE SERVICES,2004,0.59
245,"DIAMOND,GOLD ORNAMENTS",2004,1.96
246,TEA AND COFFEE,2004,0.32
247,PRINTING OF BOOKS,2004,0.0
248,COIR,2004,0.0
249,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2004,0.0
250,CONSTRUCTION DEVELOPMENT,2004,47.04
251,MISCELLANEOUS INDUSTRIES,2004,235.48
252,METALLURGICAL INDUSTRIES,2005,200.38
253,MINING,2005,9.92
254,POWER,2005,43.37
255,NON-CONVENTIONAL ENERGY,2005,1.27
256,COAL PRODUCTION,2005,0.0
257,PETROLEUM & NATURAL GAS,2005,102.78
258,BOILERS AND STEAM GENERATING PLANTS,2005,0.54
259,PRIME MOVER,2005,2.66
260,ELECTRICAL EQUIPMENTS,2005,97.4
